object_label,context,utterance,filename,topic,object_id,ref_type,plurality,recording_id,segment_id
the furniture,The fertility statue shards are on the brown furniture.,"But eve- but if you wish to actually change the color of the furniture, maybe the brown one, it would be a better choice.",hsi_7_0719_209_003_39_000_color.png,Fertility_Statue_Shards_1,Dresser_29dd319f,exact,single,hsi_7_0719_209_003,39
that lamp,The floor lamp stands near the TV.,"Yeah, but that is a problem, of course, that lamp will have to be turned off when I watch TV.",hsi_4_0717_211_001_75_001_color.png,FloorLamp_75348c2c,FloorLamp_75348c2c,exact,single,hsi_4_0717_211_001,75
the couch,The dresser stands beside the couch.,"yeah,  i can understand that because you don't want to sit like this and especially if you lie down on the couch you you want to have it lower so i can see that so thank you that's a great suggestion",hsi_5_0718_210_002_28_000_color.png,dresser,Sofa_b5cc7b35,exact,single,hsi_5_0718_210_002,28
balcony,The statue is in a box on the balcony.,"put them in the box, and then put the box, just, just  throw it off, throw it off, off, off your balcony.",hsi_6_0718_227_002_106_003_color.png,statue,Windows,exact,single,hsi_6_0718_227_002,106
this lamp,The lamp stands as a symbol in the living room.,So I really like this lamp. It's a symbol because I have eh a daughter and I have two granddaughters.,hsi_5_0718_222_002_66_000_color.png,Lamp,Lamp,exact,single,hsi_5_0718_222_002,66
the badminton rackets,The book and badminton rackets rest together on the shelf.,"Also th- this book together with the badminton rackets. Eh, I, That's not placed there by accident. Eh It's actually one of the world's greatest eh badminton players, eh Sarah Nicholson.",hsi_5_0718_222_002_54_001_color.png,Tennis_Racquet_4,Tennis_Racquet_4,exact,single,hsi_5_0718_222_002,54
fauteuil,The armchair is positioned near the window.,"What {do} you call this one in Swedish eh or in English, fåtölj?",hsi_5_0718_209_001_1_001_color.png,ArmChair_3e286e7a,armchair,exact,single,hsi_5_0718_209_001,1
The rug,The rug lies in front of the fireplace.,The rug.,hsi_6_0718_209_003_128_000_color.png,Rug,Rug,exact,single,hsi_6_0718_209_003,128
plants,The large tropical plant stands beside the small plant.,"big, small plant.",hsi_4_0717_210_001_16_000_color.png,TropicalPlantLarge (2),TropicalPlantLarge (2),exact,single,hsi_4_0717_210_001,16
the desk,The dresser is turned to face the fireplace.,"I'm thinking but if yeah, cuz if we would put the couch and chair there facing the fireplace, the desk would be turned that way.",hsi_4_0717_209_003_28_003_color.png,dresser,desk,exact,single,hsi_4_0717_209_003,28
the armchair,The armchair sits by the desk.,"And unfortunately, actually, there are not... [spn] a lot of female designers that... that are famous. But if you look at the armchair over there by the desk, that's actually a female designer.",hsi_5_0718_209_001_11_000_color.png,Chair_204_2,Chair_204_2,exact,single,hsi_5_0718_209_001,11
that plant,The key chain is hidden among the plants.,"So like maybe that plant there or that plant, I would just hide them like just just throw them in, you know, and then you know, it's like they're not even there.",hsi_6_0718_211_002_50_001_color.png,key chain,HousePlant_0db093fe,exact,single,hsi_6_0718_211_002,50
chandelier,The chandelier hangs above the table in the corner.,"Yeah, the chandelier and the table under the cha- chandelier with... It's nice and spacious, which is beautiful.",hsi_4_0717_227_002_13_002_color.png,corner2,Chandelier,exact,single,hsi_4_0717_227_002,13
The lamp,The floor lamp stands next to the sofa.,The lamp there?,hsi_6_0718_209_003_151_000_color.png,FloorLamp_4062327b,FloorLamp_4062327b,exact,single,hsi_6_0718_209_003,151
plant,The large houseplant is in the corner of the room.,Your treasure plant.,hsi_6_0718_227_002_54_000_color.png,HousePlant1Large,HousePlant1Large,exact,single,hsi_6_0718_227_002,54
the lamp,The ceiling light hangs out of view when entering the room.,It will be very beautiful because now when you come in you don't see the lamp.,hsi_3_0715_210_011_76_001_color.png,CeilingLight,DeskLamp_3d0b0fb7,exact,single,hsi_3_0715_210_011,76
the dog,The dog figurine sits on the wall cabinet.,Ah and then there's ah the cheetah ah and ah the dog over there.,hsi_5_0718_227_001_8_001_color.png,wall cabinet,Statue_bc9ffa92,exact,single,hsi_5_0718_227_001,8
credit cart,The credit card is not kept in the trash room.,"Ah no, no, no, no, no, no, no, no, no of course not. I wouldn't keep a credit card there.",hsi_7_0719_211_002_77_000_color.png,CreditCard_1f5b07d9,CreditCard_1f5b07d9,exact,single,hsi_7_0719_211_002,77
the table,The gold statue sits on the table.,"Yeah, on the table there, uh because she's eh... You don't know if she's coming up from the sea or is going down to the beach or whatever she is.",hsi_5_0718_227_001_10_000_color.png,GoldStatue_e904d593,DiningTable_d80cf940,exact,single,hsi_5_0718_227_001,10
the chandelier,The chandelier hangs from the ceiling.,"So when you cleaned the ch- the chandelier, did you use that soft thing?",hsi_4_0717_227_003_26_000_color.png,Chandelier,Chandelier,exact,single,hsi_4_0717_227_003,26
rugs,A Persian rug lies in the center of the living room.,Do you like Persian rugs?,hsi_6_0718_209_003_137_000_color.png,Rug,Rug,exact,single,hsi_6_0718_209_003,137
the TV,The TV is positioned against the wall.,"Well, the TV's just a TV, so.... Ah.",hsi_5_0718_222_002_78_000_color.png,Television_f9d000b1,Television_f9d000b1,exact,single,hsi_5_0718_222_002,78
the trash can,The trash can sits in the back corner.,"And also the trash can in the back, I wouldn't really put it there. It's it it doesn't look good.",hsi_7_0719_210_002_19_000_color.png,corner5,GarbageCan_43439bc1,exact,single,hsi_7_0719_210_002,19
the TV,The tennis racquet is in front of the TV.,"There's a racket right here, right in the front of the TV.",hsi_4_0717_222_002_17_001_color.png,Tennis_Racquet_4,Television_f9d000b1,exact,single,hsi_4_0717_222_002,17
the lighting on the roof,The lamp is mounted on the roof.,yeah of course I mean I think that the the lighting on the roof is really nice because it gives kind of a natural uh style so I think that that is good um regarding lamps yeah you might have too many of them so maybe this one I will remove this one I think it it might look nice in the night so uh I think this one you you might be able to keep it,hsi_7_0719_227_003_25_000_color.png,lamp,CeilingLights,exact,single,hsi_7_0719_227_003,25
the walls,The room is surrounded by walls.,"so because i don't want to put, to have a lot of holes in the walls",hsi_5_0718_210_002_39_000_color.png,room,wall,exact,single,hsi_5_0718_210_002,39
the couch,A huge armchair accompanies the couch.,"There's a huge armchair that goes with the couch, and there's a small armchair that looks a bit...",hsi_4_0717_210_003_29_002_color.png,Chair_c6d435d0,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,29
that window,The fireplace is located in the direction of the window.,Need or need but th- that that window is that direction and,hsi_5_0718_222_002_8_000_color.png,fireplace,Window_0dfbe90f,exact,single,hsi_5_0718_222_002,8
the window,The chair sits by the window.,if we have the armchair here we could put that little armchair by the window,hsi_5_0718_210_003_97_002_color.png,Chair_c6d435d0,Window2_debaf983,exact,single,hsi_5_0718_210_003,97
that couch,The wall cabinet stands near the couch.,"And also if that couch is like that, it would be like, and I think maybe you should move those white things a bit that way, the white cupboards...",hsi_4_0717_227_002_27_000_color.png,wall cabinet,Sofa_8bd689dc,exact,single,hsi_4_0717_227_002,27
lamp,The lamp stands in the room by the plant.,"What's random, hold on, hold on what's what's random that is that you call my lamp random you come the plant random.",hsi_6_0718_210_001_41_001_color.png,room,DeskLamp_3d0b0fb7,exact,single,hsi_6_0718_210_001,41
the wall,The wall stands beside the window.,do you know if the wall is a bearing wall,hsi_5_0718_211_003_16_000_color.png,Wall,Wall,exact,single,hsi_5_0718_211_003,16
that little short chair,The little short chair is where I read.,"But when I do read, that's where I read, in that little short chair.",hsi_6_0718_210_001_36_001_color.png,Chair_c6d435d0,Chair_c6d435d0,exact,single,hsi_6_0718_210_001,36
the lights,The ceiling lights illuminate the entire room.,And all the lights are working.,hsi_4_0717_209_002_46_000_color.png,CeilingLights,CeilingLights,exact,single,hsi_4_0717_209_002,46
the table,The key chain lies on the table.,Don't put keys on the table. It's very bad luck.,hsi_4_0717_211_002_19_001_color.png,key chain,CoffeeTable_dd16dc6e,exact,single,hsi_4_0717_211_002,19
Couch,The sofa sits in the living room.,"Couch, chair, foot piece, other chair.",hsi_4_0717_210_003_4_000_color.png,Sofa_b5cc7b35,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,4
that couch,The sofa from your mom is there.,"And that couch there, that's from my mom.",hsi_6_0718_210_001_76_000_color.png,Sofa_b5cc7b35,Sofa_b5cc7b35,exact,single,hsi_6_0718_210_001,76
the couch,The dresser stands near the couch facing the fireplace.,"I'm thinking but if yeah, cuz if we would put the couch and chair there facing the fireplace, the desk would be turned that way.",hsi_4_0717_209_003_28_000_color.png,dresser,sofa,exact,single,hsi_4_0717_209_003,28
woden table,The wooden table is next to the lamp in the corner.,Wooden table next to it and the lamp.,hsi_4_0717_222_003_81_000_color.png,corner4,SideTable_cb8929ce,exact,single,hsi_4_0717_222_003,81
the blue one,The blue garbage can is behind you.,"Yeah, actually those those two cans behind you like the blue one and the red one",hsi_6_0718_222_001_109_001_color.png,garbage can,BlueGarbageCan_97c506a7,exact,single,hsi_6_0718_222_001,109
that book,The book rests on the shelf.,So that book has also got to go.,hsi_6_0718_209_003_168_000_color.png,Book_7e290dff,Book_7e290dff,exact,single,hsi_6_0718_209_003,168
the table,The chandelier hangs low above the table.,"And the chandelier, the chandelier uh it's a little bit low, I mean in terms of height because you have a low table now so I think I would just change this whole setup and basically the table and the chairs a little bit upper because this looks like kindergarten style.",hsi_7_0719_227_003_26_003_color.png,Chandelier,DiningTable_d80cf940,exact,single,hsi_7_0719_227_003,26
the green walls,The statue stands against the green walls.,"You know, with the black background and the green walls, I think we should have pink flowers.",hsi_3_0715_227_004_47_001_color.png,statue2,wall,exact,single,hsi_3_0715_227_004,47
armchair,The armchair is designed by a famous Danish designer named Jensen.,"Chair yes this- armchair, yes, this armchair eh is really really amazing because it's a Danish designer who's uh really famous. He's called... his name is eh Jensen.",hsi_5_0718_209_001_2_001_color.png,ArmChair_3e286e7a,ArmChair_3e286e7a,exact,single,hsi_5_0718_209_001,2
gaming laptop,The gaming laptop is there.,"I got, uhm,  I got my gaming laptop there.",hsi_6_0718_227_001_11_000_color.png,Laptop_d9d44fbe,Laptop_d9d44fbe,exact,single,hsi_6_0718_227_001,11
a flower,The lotus flower-like chair is surrounded by cushions.,"flower like it doesn't look, uh, at first i thought it looked like a spider's web or something but now now i think more it looks like a flower a lotus flower so i think you could have it over there and then just place cushions all around it and and then we of course",hsi_5_0718_210_003_103_002_color.png,Chair_c6d435d0,Chair_c6d435d0,exact,single,hsi_5_0718_210_003,103
the desk,The laptop sits on the desk.,Maybe you can put it on the desk as well.,hsi_7_0719_209_003_35_001_color.png,Laptop_c535f2bc,Desk_204_1,exact,single,hsi_7_0719_209_003,35
the wall,The painting hangs right in the middle of the wall.,right in the middle of the wall,hsi_4_0717_209_003_45_001_color.png,painting,wall,exact,single,hsi_4_0717_209_003,45
television,The remote control is unnecessary without a television.,you don't need a remote control as you I understood it that you didn't want television,hsi_5_0718_210_003_68_002_color.png,RemoteControl_827d4f47,Television_01800a8c,exact,single,hsi_5_0718_210_003,68
white box,The white box sits next to the TV.,"Yeah, but I mean, there's a there's a white white box next to the TV thing.",hsi_4_0717_210_003_61_000_color.png,Box_acb44c64,Box_acb44c64,exact,single,hsi_4_0717_210_003,61
carpet here,The laptop sits on the carpet.,"Oh, it's just standing there because I I didn't move it. Y- you can see I... I usually sit there because then I can watch out eh through the window. And and I like that one because I... I... I like to have a laptop because eh then I can... sit anywhere I want. I like to, sometimes I sit on the carpet here ah and sometimes, oh!",hsi_5_0718_227_001_40_006_color.png,Laptop_d9d44fbe,Rug,exact,single,hsi_5_0718_227_001,40
that sculpture,The sculpture stands prominently in view.,"But ah yeah, I mean, uh also that sculpture there that you can see.",hsi_7_0719_222_002_19_000_color.png,Statue_24d96a63,Statue_24d96a63,exact,single,hsi_7_0719_222_002,19
the laptop,The laptop sits on the desk.,"But now you want the TV eh and you have the laptop, of course, so so you don't really need a working place like that.",hsi_5_0718_209_003_21_001_color.png,Desk_204_1,Laptop_c535f2bc,exact,single,hsi_5_0718_209_003,21
television stuff,The television sits against the wall.,That is quintessential hipster television stuff.,hsi_6_0718_211_001_66_001_color.png,Television_f5fb6360,Television_f5fb6360,exact,single,hsi_6_0718_211_001,66
a fireplace,The fireplace stands empty against the wall.,"And I also have a fireplace, but there's no fire in it.",hsi_4_0717_209_001_63_000_color.png,fireplace,fireplace,exact,single,hsi_4_0717_209_001,63
couch,The couch is here.,So you have my couch here.,hsi_6_0718_209_001_13_000_color.png,Sofa_dcb895fb,Sofa_dcb895fb,exact,single,hsi_6_0718_209_001,13
the box,The statue is in the box on the balcony.,"put them in the box, and then put the box, just, just  throw it off, throw it off, off, off your balcony.",hsi_6_0718_227_002_106_001_color.png,statue,Box_c423d56d_2,exact,single,hsi_6_0718_227_002,106
the UV light,The UV ceiling light hangs awkwardly in the room.,and it wanted to be there so and I haven't moved the lamp yet but it should be and as you see it's I am now taking away the UV light because I have two similar lights up there my god I forgot about those I never use them actually well and now when you tell me when you're noticing it it looks quite off in this room,hsi_5_0718_210_001_106_003_color.png,CeilingLight,CeilingLight,exact,single,hsi_5_0718_210_001,106
that painting,The painting hangs above the couch on the wall.,"Just move that along or wait, actually, that one is looks better with a couch. So place that painting above the couch over there, this one goes over there that wall",hsi_4_0717_211_003_52_003_color.png,painting,WallPainting9,exact,single,hsi_4_0717_211_003,52
the bin,The garbage can is hard to find.,"Because uh because, yeah, the the the bin, it's uh... [breath] [smack] It's hard to find nice bins.",hsi_7_0719_211_002_88_000_color.png,GarbageCan_133fd689,GarbageCan_133fd689,exact,single,hsi_7_0719_211_002,88
that chair,The ceiling light hangs above the chair.,"I I know what you... I know it might look a bit strange but actually it's... I used to have the plant over there so it's a UV light, uh,  but, uh then of course when I bought that chair I had to ask the chair actually where it wanted to be.",hsi_5_0718_210_001_105_003_color.png,CeilingLight,Chair_c6d435d0,exact,single,hsi_5_0718_210_001,105
lamp pillow,The lamp pillow rests on the reading chair.,"when you're sitting and reading, you have this lamp pillow.",hsi_3_0715_210_010_33_000_color.png,Pillow_4f745fd7,Pillow_4f745fd7,exact,single,hsi_3_0715_210_010,33
the couch,The rug lies beneath the couch.,Otherwise we have to to move the the couch.,hsi_3_0715_227_002_69_000_color.png,Rug,Sofa_8bd689dc,exact,single,hsi_3_0715_227_002,69
the couch,The couch sits in the corner with a lamp next to it.,"Hmm, since you have that couch, and if you're having the couch in the corner, you have a lamp there to have somewhere to store newspapers, right? Next to it. So you can have a read in your couch, maybe you should have to get something or you can.",hsi_4_0717_222_003_74_001_color.png,corner4,ArmChair_3ba6dec5,exact,single,hsi_4_0717_222_003,74
this wonderful window,The wonderful window is positioned near the sofa.,"Yes, I think that eh when when you look at it eh because you have this wonderful window here and this one and eh I think that this is a good placement of the sofa because you can",hsi_5_0718_211_003_1_000_color.png,Window_4c44c73f,Window_4c44c73f,exact,single,hsi_5_0718_211_003,1
the couch,The rug lies under the couch.,"And then, I mean, we would have to pull the rug, I think, so the rug is with the couch.",hsi_4_0717_210_003_24_001_color.png,Rug,Sofa_b5cc7b35,exact,single,hsi_4_0717_210_003,24
The bear,The painting of the bear hangs on the wall.,"The bear, that thing, they just they just they just they just show up.",hsi_6_0718_211_001_45_000_color.png,Painting_5ebe949b,Teddy_Bear_2,exact,single,hsi_6_0718_211_001,45
the sofa,The old-looking sofa sits beside the armchair.,"Yes, and and eh you see also see that eh th- the armchair and the sofa, ah and eh this one is ehm... eh the two sofas, eh and eh i- if you look closer at them you see that it looks as if it's eh old, and that some [spn] but it's actually the... intended to be like that.",hsi_5_0718_222_002_11_001_color.png,furniture,Sofa_f3c3f4ca,exact,single,hsi_5_0718_222_002,11
the door,The floor lamp stands a little close to the door.,"I think it fits if we make it, it's not really, it's a little bit close to the door.",hsi_3_0715_210_011_31_001_color.png,FloorLamp_82e14abb,Door,exact,single,hsi_3_0715_210_011,31
This painting,The painting hangs on the wall.,"This painting here, was the, was the, the frame always so white?",hsi_6_0718_210_002_4_000_color.png,Painting_0f25d3f4,Painting_0f25d3f4,exact,single,hsi_6_0718_210_002,4
Sherlock Holmes,The Sherlock Holmes book lies on the shelf.,"No, I mean, Sherlock Holmes is not even a genre that I like.",hsi_7_0719_222_002_26_000_color.png,book,Book_28,exact,single,hsi_7_0719_222_002,26
the mat,The rug lies on the floor by the entrance.,See about the mat.,hsi_3_0715_227_003_60_000_color.png,rug,rug,exact,single,hsi_3_0715_227_003,60
the hand,The hand statue is displayed on the shelf.,"And em no, that was really interesting. And, and then, then, of course, I'm also into more modern stuff like the hand there, ah which I really enjoy because it's",hsi_5_0718_209_001_24_000_color.png,Hand_Statue_2,Hand_Statue_2,exact,single,hsi_5_0718_209_001,24
this painting,The painting hangs on the wall.,"And also this painting, though.",hsi_4_0717_210_001_41_000_color.png,Painting_0f25d3f4,Painting_0f25d3f4,exact,single,hsi_4_0717_210_001,41
the window,A house plant sits by the TV and another in the window.,By the TV and also one in the window.,hsi_4_0717_211_002_50_001_color.png,house plant,Window_4c44c73f,exact,single,hsi_4_0717_211_002,50
the couch,The painting hangs above the couch.,"So you should put it ah, over, just oh, above the couch, the new sofa.",hsi_3_0715_210_011_68_001_color.png,Painting_0f25d3f4,Sofa_b5cc7b35,exact,single,hsi_3_0715_210_011,68
the furniture,The dresser stands against the wall near the window.,"So uh I don't know if the furniture should be gray, same as the floor",hsi_7_0719_209_003_13_000_color.png,Dresser_29dd319f,Dresser_29dd319f,exact,single,hsi_7_0719_209_003,13
tennis rackets,Tennis rackets lie scattered across various surfaces.,Clean up a bit so you don't have tennis rackets and books lying around and watches and stuff. Just so the surfaces are clean.,hsi_4_0717_222_003_59_000_color.png,surfaces,Tennis_Racquet_4,exact,single,hsi_4_0717_222_003,59
this monstrosity,A large tropical plant stands beside the couch.,"you or your dog might eaten it and have replaced it with whatever this monstrosity is, this little baby monstrosity.",hsi_6_0718_210_002_133_000_color.png,TropicalPlantLarge (2),TropicalPlantLarge (2),exact,single,hsi_6_0718_210_002,133
the ceiling,Small lights are installed in the ceiling.,We could put small lights in the ceiling.,hsi_5_0718_211_003_54_000_color.png,room,Ceiling,exact,single,hsi_5_0718_211_003,54
the floor,The window allows light to shine onto the floor.,I love the windows and how the light shines in on the floor.,hsi_4_0717_209_001_59_001_color.png,window,Floor_661dfaaa,exact,single,hsi_4_0717_209_001,59
The fireplace,The fireplace is built into the middle of the wall.,The fireplace.,hsi_4_0717_209_003_53_000_color.png,fireplace,fireplace,exact,single,hsi_4_0717_209_003,53
the plant,The painting hangs in the corner near the lamp and the plant.,"So I think ah it really fits ah and and of course the composition with the lamp and the plant is, there so you get ah in in the night I mean when I turn on the lamp it gives a really nice vibe ah towards that corner because you have uh the light coming to the paint and then of course with the whole setting it gives really cozy environment.",hsi_7_0719_227_002_12_002_color.png,Painting_6fe2c2f8,HousePlant1Large,exact,single,hsi_7_0719_227_002,12
the tv,The laptop is in front of the TV.,and the PC of course and is it your watch the one on on the in front of the tv yeah of course,hsi_5_0718_210_002_75_003_color.png,laptop,Television_01800a8c,exact,single,hsi_5_0718_210_002,75
a PC,The PC sits on the desk near the window.,a PC,hsi_5_0718_210_002_68_000_color.png,Laptop_b59db75f,Laptop_b59db75f,exact,single,hsi_5_0718_210_002,68
chair,The chair is used for reading.,"Yeah, yeah, yeah, yeah, because that's, that's my reading chair, actually, yeah.",hsi_6_0718_210_001_34_001_color.png,Chair_c6d435d0,Chair_c6d435d0,exact,single,hsi_6_0718_210_001,34
this wall,The statue is placed on this wall.,So I I think you should have it on this wall.,hsi_5_0718_209_003_44_001_color.png,Statue_7e71d98f,wall,exact,single,hsi_5_0718_209_003,44
table,The coffee table sits by the window.,"And that also opens up for the window and then this pss table, I just think maybe get rid of that big table.",hsi_4_0717_209_003_36_002_color.png,coffee table,coffee table,exact,single,hsi_4_0717_209_003,36
Another painting,The painting hangs on the wall over there.,"Another painting over there, it's also nice.",hsi_6_0718_210_001_14_000_color.png,Painting_0f25d3f4_2,Painting_0f25d3f4_2,exact,single,hsi_6_0718_210_001,14
the fireplace,The fireplace is built into the living room wall.,"the, the fireplace",hsi_6_0718_222_001_21_000_color.png,fireplace,fireplace,exact,single,hsi_6_0718_222_001,21
that table,The large coffee table is positioned prominently in the room.,"Uh I think that table is, uh, I mean, for that placement, it's really big.",hsi_7_0719_209_003_21_000_color.png,CoffeeTable_0f0649ce,CoffeeTable_0f0649ce,exact,single,hsi_7_0719_209_003,21
the table,The drawers stand close to the table.,"And we have to put up the painting a little bit higher, so it doesn't it's become too close to the table.",hsi_3_0715_227_004_65_002_color.png,Drawers,DiningTable_d80cf940,exact,single,hsi_3_0715_227_004,65
that lamp,The floor lamp stands in the living room.,"Ah, okay, thank God for that, because... uh... it would be really, really sad if that lamp got uh ff damaged in any way, so. Okay, so y- yes, I would like to to remove that, of course.",hsi_5_0718_209_002_60_000_color.png,FloorLamp_4062327b,FloorLamp_4062327b,exact,single,hsi_5_0718_209_002,60
the flooring,The dresser stands on the gray flooring.,"Ah... I mean, I think in this case, you should decide because ah so the flooring is gray.",hsi_7_0719_209_003_12_000_color.png,Dresser_29dd319f,floor,exact,single,hsi_7_0719_209_003,12
paint,"The painting hangs above the furniture, creating a focal point.","Yeah, actually... actually it is. Eh it it it makes a really nice cont- contrast and I think it's really nice because it's the center of attention of this whole part here because I have the furniture here and then the paint on top. It's really nice I think it makes a focal area.",hsi_7_0719_209_001_45_003_color.png,Painting_0db0fb84,Painting_0db0fb84,exact,single,hsi_7_0719_209_001,45
the lamp,The floor lamp stands in the corner of the room.,"So one big, one middle and one small brush that you can use for the lamp.",hsi_3_0715_227_003_57_000_color.png,FloorLamp_014221fc,FloorLamp_014221fc,exact,single,hsi_3_0715_227_003,57
curtain,A curtain hangs over Window_4c44c73f.,even if you're alone it can be so I either use that frosting or create a curtain here where that's also handled by remote control to like a cinema curtain that goes,hsi_5_0718_211_003_46_002_color.png,Window_4c44c73f,Window_4c44c73f,exact,single,hsi_5_0718_211_003,46
the couch,The sofa is in the living room.,"You didn't clean the couch very well, I'm sorry, but",hsi_3_0715_227_002_7_000_color.png,sofa,Sofa_8bd689dc,exact,single,hsi_3_0715_227_002,7
the big screen,The painting hangs where the big screen used to be.,"And this painting, you have to change it place with the big screen.",hsi_3_0715_210_011_67_002_color.png,painting,Television_01800a8c,exact,single,hsi_3_0715_210_011,67
the couch,The couch is positioned across from the television.,"And we should have, so, if you have the TV here, you should have the coach like, like there.",hsi_3_0715_227_004_19_001_color.png,television,Sofa_8bd689dc,exact,single,hsi_3_0715_227_004,19
that lamp,The floor lamp stands by the window.,because that lamp is eh f- from my grandmother and I....,hsi_5_0718_209_002_56_000_color.png,FloorLamp_4062327b,FloorLamp_4062327b,exact,single,hsi_5_0718_209_002,56
the keys,The keys hang by the entrance door.,"I mean, this is ah, the keys, of the apartment.",hsi_7_0719_227_002_53_000_color.png,KeyChain_350e8f40,KeyChain_350e8f40,exact,single,hsi_7_0719_227_002,53
the table,The chair fits well at the table with the computer and the painting next to it.,"It fits very well at the table with the computer and the, and the painting just next to it.",hsi_3_0715_209_008_23_001_color.png,Chair_204_2,Desk_204_1,exact,single,hsi_3_0715_209_008,23
an old antique carpet,An old antique rug lies on the floor.,"Yes eh and and eh, as you can see it's also it's it's like that eh jaguar eh and also that one and then it's eh like carpet it's a real carpet ah and eh what I mean by that is that it's eh an old antique carpet",hsi_5_0718_222_002_50_005_color.png,Rug,Rug,exact,single,hsi_5_0718_222_002,50
bear,The teddy bear sits on the couch.,"He's, he's, he just happens to be a stuffed, stuffed bear.",hsi_6_0718_211_001_11_001_color.png,teddy bear,Teddy_Bear_1,exact,single,hsi_6_0718_211_001,11
that box,The box sits with the statue still inside.,"Eh, so the statue was in that box, so I haven't removed it yet, so I forgot.",hsi_5_0718_227_001_13_001_color.png,Box_c423d56d_2,Box_c423d56d_2,exact,single,hsi_5_0718_227_001,13
the coach,The sofa needs cleaning.,So I would like to you to clean up here in the coach.,hsi_3_0715_227_002_22_000_color.png,sofa,Sofa_8bd689dc,exact,single,hsi_3_0715_227_002,22
the carpet,A red pillow lies on the carpet.,"I I w- I would use a little bit more, more color because in the carpet you have red so I would just give pops of red if you want.",hsi_7_0719_222_004_36_000_color.png,pillow,Rug,exact,single,hsi_7_0719_222_004,36
the sofa,The painting hangs above the sofa.,"that one that you put, uh, next to that one and the sofa underneath but where do we put, uh, could you think of, uh, getting another lamp because that takes a lot of space actually",hsi_5_0718_211_003_52_002_color.png,painting,Sofa_b5c02446,exact,single,hsi_5_0718_211_003,52
the TV,The TV is mounted on the wall above the fireplace.,And how about the TV?,hsi_4_0717_209_002_47_000_color.png,Television_002818f8,Television_002818f8,exact,single,hsi_4_0717_209_002,47
this credit card,The credit card lies on the kitchen counter.,What's this credit card doing here?,hsi_4_0717_227_003_24_000_color.png,CreditCard_c655b727,CreditCard_c655b727,exact,single,hsi_4_0717_227_003,24
